Character,Gender,Alive?,Title,Forename,Surname,Birth name,Alias,Screentime
Gared,male,dead,Ser,Gared,Gared,unknown,none,0
Ser Waymar Royce,male,dead,Ser,Waymar,Royce,unknown,none,1
Will,male,dead,Ser,Will,Will,unknown,none,1
"Brandon Stark, Bran",male,alive,Ser,Brandon,Stark,unknown,Bran-The-Broken,99
"King Mance Rayder, King-Beyond-the-Wall",male,alive,King / Queen,Mance,Rayder,unknown,King-Beyond-the-Wall,21
Old Nan,female,alive,Civilian,Old Nan,Old Nan,unknown,Old Nan,0
Robb Stark,male,dead,Civilian,Robb,Stark,unknown,none,77
Jon Snow,male,dead,Civilian,Jon,Snow,unknown,none,338
Lord Eddard Stark,male,dead,Lord / Lady,Eddard,Stark,unknown,none,100
Theon Greyjoy,male,alive,Civilian,Theon,Greyjoy,unknown,none,136
King Robert Baratheon,male,dead,King / Queen,Robert,Baratheon,unknown,none,31
Jory Cassel,male,dead,Civilian,Jory,Cassel,unknown,none,6
Hullen,male,dead,Civilian,Hullen,Cassel,unknown,none,0
Harwin,male,alive,Civilian,Harwin,Cassel,unknown,none,0
Ser Rodrik Cassel,male,dead,Ser,Rodrik,Cassel,unknown,none,13
Rickon Stark,male,alive,Civilian,Rickon,Stark,unknown,none,13
Desmond,male,dead,Civilian,Desmond,Desmond,unknown,none,0
Lady Catelyn Stark (Tully),female,dead,Lord / Lady,Catelyn,Stark,Tully,none,83
"Brandon Stark, The Builder",male,dead,Civilian,Brandon,Stark,unknown,The Builder,0
Arya Stark,female,alive,Civilian,Arya,Stark,unknown,none,224
Sansa Stark,female,alive,Civilian,Sansa,Stark,unknown,none,239
Maester Luwin,male,dead,Maester,Luwin,Luwin,unknown,none,24
Lord Jon Arryn,male,dead,Lord / Lady,Jon,Arryn,unknown,none,0
"King Aerys II Targaryen, The Mad King",male,dead,King / Queen,Aerys,Targaryen,unknown,The Mad King,0
Lord Hoster Tully,male,dead,Lord / Lady,Hoster,Tully,unknown,none,0
Grand Maester Pycelle,male,dead,Grand Maester,Pycelle,Pycelle,unknown,none,35
Robert Arryn,male,alive,Civilian,Robert,Arryn,unknown,Sweetrobin,11
"Ser Brynden Tully, Blackfish",male,alive,Ser,Brynden,Tully,unknown,Blackfish,16
Benjen Stark,male,dead,Civilian,Benjen,Stark,unknown,none,13
Lady Lysa Arryn (Tully),female,dead,Lord / Lady,Lysa,Arryn,Tully,none,17
Queen Cersei Lannister,female,alive,King / Queen,Cersei,Lannister,unknown,none,236
Prince Tommen Baratheon,male,alive,Prince,Tommen,Baratheon,unknown,none,43
"Princess Daenerys Targaryen, Stormborn",female,alive,Princess,Daenerys,Targaryen,unknown,Stormborn,276
Magister Illyrio Mopatis,male,alive,Magister,Illyrio,Mopatis,unknown,none,5
"Prince Viserys Targaryen, The Beggar King",male,dead,Prince,Viserys,Targaryen,unknown,The Beggar King,21
Khal Drogo,male,dead,Khal,Drogo,Drogo,unknown,none,25
Prince Rhaegar Targaryen,male,dead,Prince,Rhaegar,Targaryen,unknown,none,0
Princess Elia Martell,female,dead,Princess,Elia,Martell,unknown,none,0
Ser Willem Darry,male,dead,Ser,Willem,Darry,unknown,none,0
"King Aegon I Targaryen, The Conqueror/The Dragon",male,dead,King / Queen,Aegon,Targaryen,unknown,The Conqueror/The Dragon,0
Khal Moro,male,alive,Khal,Moro,Moro,unknown,none,5
Khalakka Rhogoro,male,alive,Khalakka,Rhogoro,Rhogoro,unknown,none,5
Ser Jorah Mormont,male,alive,Ser,Jorah,Mormont,unknown,none,143
"Ser Jaime Lannister, Kingslayer",male,alive,Ser,Jaime,Lannister,unknown,Kingslayer,199
"Sandor Clegane, The Hound",male,dead,Ser,Sandor,Clegane,unknown,The Hound,95
"Tyrion Lannister, The Imp",male,alive,Ser,Tyrion,Lannister,unknown,The Imp,337
Lord Balon Greyjoy,male,dead,Lord / Lady,Balon,Greyjoy,unknown,none,5
Lord Rickard Stark,male,dead,Lord / Lady,Rickard,Stark,unknown,none,5
Lyanna Stark,female,dead,Lord / Lady,Lyanna,Stark,unknown,none,1
Lord Howland Reed,male,alive,Lord / Lady,Howland,Reed,unknown,none,0
Lord Tywin Lannister,male,dead,Lord / Lady,Tywin,Lannister,unknown,none,78
Prince Joffrey Baratheon,male,dead,Prince,Joffrey,Baratheon,unknown,none,70
Princess Myrcella Baratheon,female,alive,Princess,Myrcella,Baratheon,unknown,none,5
"Prince Daeron Targaryen, The Drunken",male,dead,Prince,Daeron,Targaryen,unknown,The Drunken,0
Ser Edmure Tully,male,alive,Ser,Edmure,Tully,unknown,none,18
"Brandon Stark, Brother of Eddard",male,dead,Prince,Brandon,Stark,unknown,Brother of Eddard,0
"Ser Arthur Dayne, Sword of the Morning",male,dead,Ser,Arthur,Dayne,unknown,Sword of the Morning,0
Lady Ashara Dayne,female,dead,Lord / Lady,Ashara,Dayne,unknown,none,0
Septa Mordane,female,dead,Septa,Mordane,unknown,unknown,none,6
Beth Cassel,female,alive,civilian,Beth,Cassel,unknown,none,0
Lew,male,dead,civilian,Lew,unknown,unknown,none,0
Donnis,male,dead,civilian,Donnis,unknown,unknown,none,0
"Ser Serwyn, Of the Mirror Shield",male,dead,Ser,Serwyn,unknown,unknown,Of the Mirror Shield,0
Ser Ryam Redwyne,male,dead,Ser,Ryam,Redwyne,unknown,none,0
"Prince Aemon Targaryen, The Dragonknight",male,dead,Prince,Aemon,Targaryen,unknown,The Dragonknight,19
Ser Erryk Cargyll,male,dead,Ser,Erryk,Cargyll,unknown,none,0
Ser Arryk Cargyll,male,dead,Ser,Arryk,Cargyll,unknown,none,0
"Ser Gerold Hightower, The White Bull",male,dead,Ser,Gerold,Hightower,unknown,The White Bull,0
Ser Barristan Selmy,male,alive,Ser,Barristan,Selmy,unknown,none,0
Ser Boros Blount,male,alive,Ser,Boros,Blount,unknown,none,0
Gage,male,dead,civilian,Gage,unknown,unknown,none,0
Mikken,male,dead,civilian,Mikken,unknown,unknown,none,0
"Walder, Hodor",male,alive,civilian,Walder,unknown,unknown,Hodor,30
Stannis Baratheon,male,dead,civilian,Stannis,Baratheon,unknown,none,73
Renly Baratheon,male,dead,civilian,Renly,Baratheon,unknown,none,24
"Lord Petyr Baelish, Littlefinger",male,alive,Lord / Lady,Petyr,Baelish,unknown,Littlefinger,119
Grand Maester Aethelmure,male,dead,Grand Maester,Aethelmure,unknown,unknown,none,3
Septon Chayle,male,dead,Septon,Chayle,unknown,unknown,none,3
Ayrmidon,male,dead,civilian,Ayrmidon,unknown,unknown,none,3
Irri,female,alive,civilian,Irri,unknown,unknown,none,3
Jhiqui,female,alive,civilian,Jhiqui,unknown,unknown,none,3
Doreah,female,dead,civilian,Doreah,unknown,unknown,none,3
Haggo,male,dead,civilian,Haggo,unknown,unknown,none,3
Ko Cohollo,male,dead,Ko,Cohollo,unknown,unknown,none,3
Qotho,male,dead,civilian,Qotho,unknown,unknown,none,3
"Alyn, Guard at Winterfell",male,dead,civilian,Alyn,unknown,unknown,Guard at Winterfell,0
Wylla,female,dead,civilian,Wylla,unknown,unknown,none,0
"King Baelor I Targaryen, The Blessed",male,dead,King / Queen,Baelor,Targaryen,unknown,The Blessed,0
"Varys, The Spider",male,alive,civilian,Varys,unknown,unknown,The Spider,94
Yoren,male,dead,Knights Watch,Yoren,unknown,unknown,none,12
"King Loren, Of the Rock",male,dead,King / Queen,Loren,unknown,unknown,Of the Rock,0
"King Mern, Of the Reach",male,dead,King / Queen,Mern,unknown,unknown,Of the Reach,0
Morrec,male,dead,civilian,Morrec,unknown,unknown,none,0
Vayon Poole,male,dead,civilian,Vayon,Poole,unknown,none,0
Hallis Mollen,male,dead,civilian,Hallis,Mollen,unknown,none,0
Mycah,male,dead,civilian,Mycah,unknown,unknown,none,0
Ser Ilyn Payne,male,alive,Ser,Ilyn,Payne,unknown,none,4
Princess Daeryssa,female,dead,Princess,Daeryssa,unknown,unknown,none,0
Queen Naerys Targaryen,female,dead,King / Queen,Naerys,Targaryen,unknown,none,0
Ser Morgil,male,dead,Ser,Morgil,unknown,unknown,none,0
Lord Raymun Darry,male,dead,Lord / Lady,Raymun,Darry,unknown,none,0
Captain Moreo Tumitis,male,alive,Captain,Moreo,Tumitis,unknown,none,0
Ser Aron Santagar,male,dead,Ser,Aron,Santagar,unknown,none,0
"King Maegor I Targaryen, The Cruel",male,dead,King / Queen,Maegor,Targaryen,unknown,The Cruel,0
"Ser Loras Tyrell, Knight of Flowers",male,dead,Ser,Loras,Tyrell,unknown,Knight of Flowers,32
"Grenn, Aurochs",male,alive,Knights Watch,Grenn,Aurochs,unknown,Aurochs,0
Ser Alliser Thorne,male,dead,Ser,Alliser,Thorne,unknown,none,0
Jeren,male,dead,Knights Watch,Jeren,unknown,unknown,none,0
"Todder, Toad",male,alive,Knights Watch,Todder,unknown,unknown,Toad,3
Dareon,male,dead,Knights Watch,Dareon,unknown,unknown,none,0
"Pypar, Pyp",male,alive,Knights Watch,Pypar,unknown,unknown,Pyp,12
"Halder, Stone Head",male,alive,Knights Watch,Halder,Stone Head,unknown,Stone Head,3
"Lord Commander Jeor Mormont, The Old Bear",male,dead, Commander,Jeor,Mormont,unknown,The Old Bear,21
Maester Aemon (Targaryen),male,dead,Maester,Aemon,unknown,Targaryen,none,19
Donal Noye,male,dead,civilian,Donal,Noye,unknown,none,0
Cotter Pyke,male,alive,civilian,Cotter,Pyke,unknown,none,0
Bowen Marsh,male,alive,civilian,Bowen,Marsh,unknown,none,0
Lord Mace Tyrell,male,alive,Lord / Lady,Mace,Tyrell,unknown,none,12
Ser Helman Tallhart,male,dead,Ser,Helman,Tallhart,unknown,none,0
Lord Galbart Glover,male,dead,Lord / Lady,Galbart,Glover,unknown,none,0
Lord Wyman Manderly,male,alive,Lord / Lady,Wyman,Manderly,unknown,none,0
Ser Jaremy Rykker,male,dead,Ser,Jaremy,Rykker,unknown,none,0
Jyck,male,dead,civilian,Jyck,unknown,unknown,none,0
Lady Maege Mormont,female,alive,Lord / Lady,Maege,Mormont,unknown,none,0
